feature,importance
amount_tsh,0.014868195168673992
gps_height,0.0030745479743927717
longitude,0.005940264090895653
latitude,0.0022264907602220774
population,0.001623509917408228
age,0.015179689042270184
district_code_1,0.0032024395186454058
district_code_2,0.001459105173125863
district_code_30,0.008233741857111454
district_code_33,0.003726000664755702
district_code_4,0.00529432762414217
district_code_53,0.00344046950340271
district_code_7,0.0012771555921062827
quality_group_good,0.0010468910913914442
quality_group_milky,0.003082327079027891
quality_group_unknown,0.007608567830175161
quantity_group_dry,0.057331521064043045
quantity_group_enough,0.015393304638564587
quantity_group_insufficient,0.001154203899204731
quantity_group_seasonal,8.824510587146506e-05
quantity_group_unknown,0.0065658558160066605
public_meeting_False,0.005753471050411463
public_meeting_True,0.006644125562161207
public_meeting_my_uniq_na,0.003710024757310748
extraction_type_group_afridev,0.0020944890566170216
extraction_type_group_gravity,0.007727517280727625
extraction_type_group_india mark ii,0.0006571493577212095
extraction_type_group_nira/tanira,0.006240295246243477
extraction_type_group_other,0.03836735337972641
extraction_type_group_other handpump,0.0009227670961990952
extraction_type_group_submersible,0.006264824885874987
extraction_type_group_swn 80,9.575230797054246e-05
waterpoint_type_group_communal standpipe,0.001521893311291933
waterpoint_type_group_hand pump,0.0013252404751256108
waterpoint_type_group_improved spring,0.003624178934842348
waterpoint_type_group_other,0.05884188413619995
source_lake,0.00832972303032875
source_machine dbh,0.004464048892259598
source_rainwater harvesting,0.007421506568789482
source_river,0.00342665147036314
source_shallow well,0.0013826090143993497
source_spring,0.0068857790902256966
management_company,0.01381016243249178
management_other,0.0030343332327902317
management_private operator,0.004675935488194227
management_vwc,0.010120225138962269
management_wua,0.0008352928562089801
management_wug,0.00019857425650116056
lga_Bariadi,0.007052126806229353
lga_Bukoba Rural,0.002854682272300124
lga_Chamwino,0.003178492421284318
lga_Chunya,0.006099925842136145
lga_Dodoma Urban,0.0032589598558843136
lga_Geita,0.0038008762057870626
lga_Iringa Rural,0.003858437528833747
lga_Kahama,0.008793864399194717
lga_Karatu,0.003650208469480276
lga_Kasulu,0.003919046372175217
lga_Kibondo,0.003948715515434742
lga_Kilolo,0.0033770757727324963
lga_Kisarawe,0.0032358551397919655
lga_Kondoa,0.004556078929454088
lga_Kongwa,0.004191716201603413
lga_Kwimba,0.0028271498158574104
lga_Kyela,0.0040634628385305405
lga_Masasi,0.0005697981687262654
lga_Mbeya Rural,0.0034528719261288643
lga_Mbozi,0.003288935637101531
lga_Mkinga,0.002692451234906912
lga_Morogoro Rural,0.00037566362880170345
lga_Moshi Rural,0.007109120022505522
lga_Muleba,0.003950151149183512
lga_Mwanga,0.0006537308800034225
lga_Pangani,0.0034706515725702047
lga_Rombo,0.004686976782977581
lga_Rungwe,0.005031341686844826
lga_Same,0.002552251098677516
lga_Sengerema,0.001732606440782547
lga_Shinyanga Rural,0.0017214760882779956
lga_Siha,0.0027786747086793184
lga_Singida Rural,0.005276789888739586
lga_Singida Urban,0.0013678696705028415
lga_Songea Rural,0.004114575684070587
lga_Ukerewe,0.004216191358864307
lga_Ulanga,0.0007179524400271475
extraction_type_ksb,0.00645596394315362
extraction_type_submersible,0.0014339498011395335
subvillage_Barai,0.0002426352584734559
subvillage_Bugoba,0.0006743851699866354
subvillage_Bukuma,0.00016810084343887866
subvillage_Ilulwe,0.0007020743214525282
subvillage_Kayuki,0.004801591858267784
subvillage_Mbwawa Shule,0.0004279441782273352
subvillage_Mkuyuni,0.002772253705188632
subvillage_Nakayale,0.000990083790384233
subvillage_Nasai,0.000565927941352129
subvillage_Ufana,0.00023692227841820568
region_Arusha,0.005783481057733297
region_Iringa,0.02380780316889286
region_Mara,0.005878922529518604
region_Mwanza,0.006100070662796497
region_Pwani,0.001936847111210227
region_Shinyanga,0.0026749162934720516
region_Singida,0.002040770836174488
region_Tanga,0.002822347218170762
management_group_commercial,0.0019485377706587315
management_group_user-group,0.004409541375935078
installer_Adra/Community,0.0036780110094696283
installer_Centr,0.0034479766618460417
installer_Commu,0.0031482595950365067
installer_Communit,0.002035986166447401
installer_Community,0.002045068657025695
installer_DA,0.003121898975223303
installer_DW,0.00024097903224173933
installer_DWE,0.006508308928459883
installer_District council,0.0035061172675341368
installer_Dmdd,0.003041550749912858
installer_Go,0.0001104405164369382
installer_Government,0.008312990888953209
installer_ISF,0.00321499933488667
installer_MA,0.004845017101615667
installer_RWE,0.004396678879857063
installer_RWE/DWE,0.004115916322916746
installer_UN,0.001183584681712091
installer_Unisef,0.0027442388236522675
installer_Villagers,0.00033776683267205954
installer_World vision,0.0027391198091208935
installer_my_uniq_na,0.004255110863596201
funder_Adra,0.0012101104948669672
funder_African,0.005141740199178457
funder_Amref,0.002990221604704857
funder_Dwsp,0.004030011594295502
funder_Ga,0.00286050490103662
funder_Government Of Tanzania,0.013068201020359993
funder_Hesawa,0.0020388497505337
funder_Isf,0.005443966016173363
funder_Kiliwater,0.0010379846207797527
funder_Kkkt,0.0007469558040611446
funder_Lga,0.004460140131413937
funder_Ministry Of Water,0.0023235571570694447
funder_Peace Cope,0.0032608453184366226
funder_Unicef,0.003976892679929733
funder_Water,0.0005045023863203824
funder_World Bank,0.0026717965956777334
funder_my_uniq_na,0.002823733724653721
ward_Dongobesh,0.0026177873369306326
ward_Dutwa,0.0002525428426451981
ward_Etaro,0.0013959376374259591
ward_Ilima,0.0029355136211961508
ward_Keni Mengeni,0.0008789144922047853
ward_Kibimba,0.001829879591241479
ward_Kigonsera,0.0010747270425781608
ward_Kihurio,0.003424806986004114
ward_Kisondela,0.003945452161133289
