feature,importance
payment_pay monthly,0.0009978993330150843
payment_pay per bucket,0.005647843237966299
payment_pay when scheme fails,0.0003167642862536013
payment_unknown,0.004102712031453848
source_type_borehole,0.00857791118323803
source_type_river/lake,0.006689869333058596
source_class_groundwater,0.010415418073534966
source_class_surface,0.006052245385944843
waterpoint_type_communal standpipe,0.009627549909055233
waterpoint_type_communal standpipe multiple,0.012835370376706123
basin_Internal,0.006722975056618452
basin_Lake Nyasa,0.0077968197874724865
basin_Lake Rukwa,0.006872108671814203
basin_Lake Tanganyika,0.00011358869232935831
basin_Lake Victoria,0.001423556823283434
basin_Pangani,0.003978325054049492
extraction_type_class_handpump,0.0013175169005990028
extraction_type_class_motorpump,0.011747339740395546
region_code_11,0.003188860137015581
region_code_17,0.006373270880430937
region_code_19,0.0025995431933552027
scheme_management_Company,0.0026419793721288443
scheme_management_VWC,0.0012589327525347471
scheme_management_WUA,0.0032624800223857164
scheme_management_Water Board,0.006610221695154905
scheme_management_Water authority,0.0035605805460363626
scheme_management_my_uniq_na,0.0009013238595798612
scheme_name_Amani Water Supply,0.0023536605294793844
scheme_name_Chal,0.002368398243561387
scheme_name_Ipuli pipes water supply,0.0018794561037793756
scheme_name_Jihoro,0.0002657001605257392
scheme_name_K,0.0071626449935138226
scheme_name_Kan,0.003528944682329893
scheme_name_Kidege forest,0.003021691460162401
scheme_name_Kidia kilemapunda,0.0029922460671514273
scheme_name_Kihoro,0.00027284614043310285
scheme_name_Kite,0.0001466853282181546
scheme_name_Kwamazandu water sup,0.0004414119175635278
scheme_name_Maambreni gravity water supply,0.003706076182425022
scheme_name_Mbati Water Supply,0.003497532568871975
scheme_name_Mradi wa maji Kiliwi,0.0009764318238012493
scheme_name_Mradi wa maji wa mpitimbi,0.001782738952897489
scheme_name_Ms,0.002662857761606574
scheme_name_Ntom,0.0030625155195593834
scheme_name_Tutu,0.0021196750458329916
scheme_name_WAUSA,0.0019694857764989138
scheme_name_my_uniq_na,0.005104417912662029
scheme_name_wanging'ombe water supply s,0.0028864990454167128
geohash_kxr,0.0019205883145332336
geohash_kxx,0.0011138933477923274
geohash_ky2,0.004737203940749168
geohash_ky5,0.006192863453179598
geohash_ky7,0.001663176459260285
geohash_kyg,0.0027717251796275377
geohash_kz0,0.0019665274303406477
geohash_kz5,0.00916233193129301
geohash_kz8,0.006344413850456476
