iter	Passed	Remaining
400	26166	110866
401	26233	110805
402	26294	110723
403	26358	110652
404	26428	110608
405	26511	110615
406	26585	110586
407	26659	110556
408	26722	110484
409	26796	110451
410	26876	110448
411	26953	110429
412	27012	110337
413	27081	110288
414	27154	110255
415	27236	110255
416	27333	110316
417	27393	110230
418	27469	110206
419	27544	110177
420	27618	110146
421	27685	110087
422	27776	110122
423	27862	110134
424	27938	110110
425	27999	110026
426	28065	109962
427	28136	109915
428	28211	109884
429	28288	109864
430	28348	109774
431	28418	109728
432	28496	109707
433	28570	109673
434	28643	109634
435	28708	109567
436	28777	109512
437	28851	109478
438	28926	109445
439	28996	109396
440	29061	109325
441	29122	109243
442	29194	109198
443	29269	109167
444	29339	109116
445	29402	109039
446	29467	108971
447	29539	108927
448	29650	109027
449	29707	108926
450	29770	108850
451	29847	108825
452	29926	108804
453	30006	108789
454	30071	108719
455	30139	108662
456	30215	108631
457	30284	108575
458	30370	108578
459	30431	108496
460	30510	108473
461	30587	108447
462	30656	108390
463	30729	108349
464	30796	108285
465	30869	108241
466	30944	108207
467	31025	108190
468	31091	108124
469	31171	108106
470	31252	108089
471	31332	108069
472	31404	108024
473	31476	107975
474	31548	107928
475	31625	107897
476	31697	107851
477	31765	107789
478	31843	107763
479	31920	107731
480	32018	107771
481	32080	107690
482	32157	107658
483	32236	107631
484	32309	107586
485	32377	107523
486	32453	107489
487	32533	107467
488	32608	107427
489	32675	107362
490	32739	107285
491	32819	107263
492	32893	107220
493	32969	107183
494	33040	107131
495	33122	107114
496	33204	107096
497	33276	107046
498	33340	106969
499	33413	106924
500	33493	106898
501	33573	106874
502	33634	106787
503	33713	106760
504	33801	106758
505	33881	106732
506	33952	106680
507	34016	106604
508	34098	106582
509	34180	106563
510	34256	106523
511	34322	106454
512	34386	106376
513	34465	106345
514	34542	106309
515	34629	106303
516	34698	106243
517	34761	106162
518	34836	106120
519	34904	106055
520	34974	105996
521	35043	105937
522	35118	105893
523	35194	105852
524	35261	105783
525	35331	105724
526	35396	105653
527	35454	105557
528	35514	105467
529	35573	105379
530	35634	105293
531	35697	105213
532	35761	105136
533	35827	105066
534	35897	105008
535	35968	104953
536	36035	104885
537	36102	104819
538	36166	104742
539	36231	104669
540	36298	104602
541	36364	104530
542	36426	104448
543	36488	104367
544	36554	104296
545	36618	104222
546	36684	104150
547	36747	104073
548	36812	104001
549	36881	103938
550	36948	103871
551	37016	103808
552	37080	103730
553	37165	103715
554	37229	103640
555	37297	103575
556	37364	103507
557	37425	103424
558	37490	103349
559	37555	103278
560	37621	103207
561	37683	103125
562	37748	103054
563	37815	102986
564	37885	102927
565	37959	102879
566	38033	102831
567	38097	102755
568	38161	102679
569	38227	102609
570	38292	102539
571	38358	102468
572	38423	102395
573	38487	102319
574	38570	102296
575	38650	102261
576	38720	102203
577	38794	102154
578	38865	102096
579	38938	102045
580	39001	101968
581	39077	101924
582	39150	101871
583	39212	101792
584	39271	101703
585	39335	101627
586	39396	101545
587	39460	101469
588	39521	101388
589	39590	101325
590	39655	101252
591	39722	101183
592	39786	101110
593	39851	101038
594	39917	100967
595	39979	100888
596	40045	100817
597	40112	100749
598	40178	100681
599	40245	100613
600	40309	100539
601	40375	100468
602	40438	100391
603	40503	100320
604	40569	100251
605	40634	100177
606	40697	100100
607	40756	100015
608	40818	99934
609	40882	99859
610	40945	99782
611	41012	99716
612	41074	99637
613	41185	99675
614	41253	99612
615	41331	99572
616	41397	99501
617	41454	99411
618	41519	99338
619	41582	99260
620	41642	99177
621	41710	99113
622	41775	99041
623	41841	98970
624	41910	98909
625	41977	98841
626	42043	98772
627	42111	98707
628	42178	98640
629	42255	98596
630	42333	98554
631	42414	98519
632	42482	98454
633	42562	98416
634	42627	98346
635	42693	98274
636	42757	98202
637	42825	98135
638	42890	98063
639	42958	97998
640	43022	97924
641	43117	97921
642	43199	97887
643	43279	97849
644	43358	97809
645	43434	97760
