iter	Accuracy	MultiClass
231	0.7929461279	0.5140762077
232	0.792996633	0.5138397208
233	0.792979798	0.5137474086
234	0.792996633	0.5134832498
235	0.7933333333	0.5131524407
236	0.7936363636	0.5126931103
237	0.7936868687	0.5125656291
238	0.7938383838	0.5121818474
239	0.7939393939	0.5118949299
240	0.7940740741	0.5114690985
241	0.7942087542	0.5112297464
242	0.7942929293	0.5109465286
243	0.7943097643	0.5106881288
244	0.7944612795	0.510408465
245	0.7946801347	0.5100061187
246	0.7948821549	0.5095215776
247	0.7954040404	0.5089165989
248	0.7954882155	0.5087150626
249	0.7955555556	0.5084219822
250	0.7954377104	0.5082534329
251	0.7954377104	0.5080704495
252	0.7954377104	0.5077312933
253	0.7956734007	0.5075308014
254	0.7956734007	0.5071886939
255	0.796010101	0.5066691161
256	0.7962962963	0.5064033786
257	0.7961279461	0.5062788555
258	0.7963131313	0.5059487521
259	0.7963299663	0.505698701
260	0.7966498316	0.5052923444
261	0.797037037	0.5045125617
262	0.7970707071	0.5043621825
263	0.7972053872	0.5040070774
264	0.7978787879	0.5036743225
265	0.7977777778	0.503447741
266	0.7978114478	0.5032504205
267	0.7981818182	0.5028357276
268	0.7982828283	0.5024433997
269	0.7984511785	0.5020589491
270	0.7984343434	0.5016729227
271	0.7986531987	0.5013124667
272	0.7988047138	0.5012173594
273	0.7988888889	0.5009181381
274	0.7989225589	0.5007843504
275	0.7989225589	0.5006128512
276	0.7990740741	0.5004813305
277	0.7991077441	0.5001938232
278	0.7992424242	0.499890537
279	0.7995454545	0.4994040916
280	0.7997979798	0.4990398461
281	0.7997474747	0.4986052521
282	0.8001178451	0.4979339847
283	0.8002861953	0.4977511721
284	0.8005387205	0.4973629904
285	0.8006060606	0.4968826907
286	0.8006397306	0.4963479833
287	0.8008585859	0.4959415904
288	0.801043771	0.495755412
289	0.8010942761	0.4954070026
290	0.801043771	0.4953112234
291	0.8011616162	0.4951943142
292	0.8012794613	0.4947107375
293	0.8012962963	0.4945688201
294	0.8015319865	0.4943984526
295	0.8017508418	0.49412925
296	0.8017508418	0.4939223157
297	0.8017676768	0.4937641092
298	0.801986532	0.4933537398
299	0.8018686869	0.493157298
300	0.8019191919	0.4930791336
301	0.802003367	0.4929112963
302	0.8021548822	0.4925620526
303	0.8022053872	0.4923057242
304	0.8022727273	0.4921625751
305	0.8024747475	0.491709083
306	0.8024747475	0.4915441736
307	0.8025757576	0.4913431592
308	0.8030639731	0.4910601871
309	0.8032659933	0.4908361549
310	0.8034848485	0.4905284025
311	0.8034680135	0.4902036305
312	0.8034006734	0.4900926552
313	0.8034343434	0.4898853112
314	0.8034680135	0.4896263945
315	0.8034511785	0.4894645313
316	0.8038047138	0.4891265767
317	0.8039225589	0.4889229846
318	0.8039393939	0.4888264916
319	0.8039393939	0.4886215268
320	0.8038720539	0.4883809281
321	0.8038720539	0.4881828881
322	0.803973064	0.4879990285
323	0.803989899	0.4878251807
324	0.8040909091	0.4876132886
325	0.8043602694	0.4872764849
326	0.8043771044	0.4867311797
327	0.8045959596	0.4866139564
328	0.8047811448	0.4864326907
329	0.8047643098	0.4862217176
330	0.8048484848	0.4859812979
331	0.8050673401	0.485572729
332	0.8052861953	0.4851314281
333	0.8054040404	0.4849934505
334	0.8054040404	0.4848873791
335	0.8055892256	0.4847356385
336	0.8056902357	0.4844640177
337	0.8058417508	0.4842286379
338	0.8058922559	0.4838584822
339	0.8061111111	0.4836358885
340	0.8060942761	0.4833499173
341	0.8065993266	0.48304743
342	0.8066161616	0.4826452138
343	0.8067508418	0.4824774732
344	0.8070538721	0.4822755462
345	0.8069023569	0.4821035201
346	0.8069191919	0.4818237188
347	0.8071212121	0.4816397595
348	0.8073905724	0.481272231
349	0.8074410774	0.4810188125
350	0.8076094276	0.4806781626
351	0.8077272727	0.4804846472
352	0.8078451178	0.4803871517
353	0.807962963	0.4802091662
354	0.808047138	0.4800470589
355	0.8084511785	0.4797368364
356	0.8084511785	0.479516837
357	0.8085353535	0.4794261293
358	0.8085690236	0.4793062412
359	0.8085690236	0.4790115898
360	0.8087542088	0.4787913843
361	0.809023569	0.4785852038
362	0.809040404	0.4783695597
363	0.8091414141	0.478236795
364	0.8092929293	0.4780583486
365	0.8094949495	0.4777712306
366	0.8093097643	0.4775000457
367	0.8094107744	0.4773052963
368	0.8095622896	0.4770161848
369	0.8095791246	0.476941327
370	0.8097306397	0.4765764012
371	0.8098653199	0.4762260161
372	0.80996633	0.4760288334
373	0.8101515152	0.4758857183
374	0.8107239057	0.4754278007
375	0.8105723906	0.4752421235
376	0.8104545455	0.4750679062
377	0.8105555556	0.4747424824
378	0.8104713805	0.4745501641
379	0.8108080808	0.4741979543
380	0.8109427609	0.4739898805
381	0.8112289562	0.4737866974
382	0.8113804714	0.4736801896
383	0.8119191919	0.4732087753
384	0.8120707071	0.4729018765
385	0.8122727273	0.4727086212
386	0.8122558923	0.4725602033
387	0.8123737374	0.4724318122
388	0.8124747475	0.4721795572
389	0.8125084175	0.4720439222
390	0.8124747475	0.4717695375
391	0.8124915825	0.4716920596
392	0.8125084175	0.4715378908
393	0.8126936027	0.4714280708
394	0.8128619529	0.4711524469
395	0.812996633	0.4708691053
396	0.8132996633	0.4705428739
397	0.8133164983	0.4704170814
398	0.8135858586	0.4700206395
399	0.8136700337	0.4698808441
400	0.8137205387	0.4697530028
401	0.8136363636	0.469579561
402	0.8136195286	0.469402003
403	0.8138720539	0.4692304639
404	0.813956229	0.4691351088
405	0.8141919192	0.4688211435
406	0.8142255892	0.4684823269
407	0.8141919192	0.4682596271
408	0.8144612795	0.4678650856
409	0.8144444444	0.4676571902
410	0.8146632997	0.4673350806
411	0.8148653199	0.4669873609
412	0.8148821549	0.4667845379
413	0.8148821549	0.4664822554
414	0.8152188552	0.4662191355
415	0.8152861953	0.4661478995
416	0.8153535354	0.4659435988
417	0.8155723906	0.4657713628
418	0.8156565657	0.4656101041
419	0.8156734007	0.465500251
420	0.8156228956	0.4652105189
421	0.8156397306	0.4650934685
422	0.8158922559	0.4647892974
423	0.8160774411	0.4644965017
424	0.8162121212	0.4642541075
425	0.8162626263	0.4641937571
426	0.8163299663	0.4638983706
427	0.8163636364	0.4638327087
428	0.8163973064	0.4636387426
429	0.8168181818	0.4634033519
430	0.8171380471	0.4629521447
431	0.8172222222	0.462768492
432	0.8174242424	0.4626150466
433	0.8175252525	0.4624302707
434	0.8175925926	0.4623261271
435	0.8175757576	0.4620315584
436	0.8178451178	0.4616998209
437	0.817979798	0.4614415447
438	0.817979798	0.4611455105
439	0.817962963	0.4610003936
440	0.817979798	0.4608883175
441	0.818030303	0.4608467201
442	0.817996633	0.4605435982
443	0.8180976431	0.4603006941
444	0.8181818182	0.4601924912
445	0.8182996633	0.459996922
446	0.8183838384	0.4598416295
447	0.8182323232	0.4597662112
448	0.8183501684	0.4595728947
449	0.8183164983	0.4593710824
450	0.8183501684	0.4592030926
451	0.8185353535	0.4589580262
452	0.8186195286	0.4585909955
453	0.8186363636	0.4585374999
454	0.8186700337	0.4583831842
455	0.8187373737	0.4582542147
456	0.818973064	0.4580405029
457	0.8192929293	0.4577834926
458	0.8194444444	0.4574955898
459	0.8195286195	0.4573256692
460	0.8195622896	0.457118034
461	0.8194612795	0.4569166394
462	0.8194949495	0.4567433141
463	0.8196632997	0.4565373758
464	0.8195791246	0.456253236
465	0.8195117845	0.4561556482
466	0.8196296296	0.4560292402
467	0.8195622896	0.4558323811
468	0.8196296296	0.4556066496
469	0.8196632997	0.4555292995
470	0.8198484848	0.4552887791
471	0.8198484848	0.4552215654
472	0.8198989899	0.4550906337
473	0.81996633	0.4548445638
474	0.81996633	0.4547021369
475	0.819983165	0.4545911747
476	0.8200673401	0.4544691678
477	0.8203703704	0.4541909935
478	0.8203535354	0.4539669878
479	0.8203030303	0.4538459318
480	0.8203367003	0.4537608735
481	0.8203703704	0.4536706653
482	0.8205050505	0.4535045517
483	0.8203703704	0.4533582682
484	0.8204377104	0.4532368545
485	0.8205387205	0.4531083061
486	0.820959596	0.4528010218
487	0.8208080808	0.4527343553
488	0.8210774411	0.4522671925
489	0.8210774411	0.45208573
490	0.8210942761	0.4519718699
491	0.8213131313	0.4516581287
492	0.8213299663	0.4514694164
493	0.8213299663	0.4512430953
494	0.8213299663	0.4511303628
495	0.8214309764	0.4509818256
496	0.8215656566	0.4508445273
497	0.8215993266	0.450716423
498	0.8217845118	0.450599569
499	0.8217676768	0.4503950461
500	0.8218350168	0.4501885504
501	0.8218855219	0.4500203212
502	0.8217845118	0.4499358909
503	0.822037037	0.4497919645
504	0.8221548822	0.4497037488
505	0.8223232323	0.4495555505
506	0.8224747475	0.4493435567
507	0.8227272727	0.4491047257
508	0.8227609428	0.4488375523
509	0.8227272727	0.4486687283
510	0.8231144781	0.448418995
511	0.8230639731	0.4483182321
512	0.8232323232	0.4481388864
513	0.8232491582	0.4479362441
514	0.8232323232	0.4476388519
515	0.8234343434	0.4474376677
516	0.8235016835	0.4472673659
517	0.8235016835	0.4471811434
518	0.8235185185	0.4469947172
519	0.8236195286	0.4469173559
520	0.8236363636	0.4467023722
521	0.8236531987	0.4465982242
522	0.8236700337	0.4464795686
523	0.8236195286	0.4463359017
524	0.8237878788	0.4459401351
525	0.8238552189	0.4458122123
526	0.823973064	0.4457072899
527	0.8239393939	0.4455381676
528	0.8241750842	0.4452974733
529	0.8241919192	0.4451282544
530	0.8242760943	0.4450324768
531	0.8243265993	0.4448031731
